iter	RMSE
0	3198.106868
1	2671.296924
2	2418.819222
3	2293.197236
4	2206.440803
5	2155.12057
6	2123.716827
7	2090.124015
8	2071.748486
9	2053.131222
10	2037.071669
11	2021.761814
12	2012.952129
13	2000.984196
14	1992.886977
15	1976.027406
16	1964.782034
17	1957.194991
18	1949.92353
19	1945.260474
20	1940.996906
21	1936.86349
22	1931.021735
23	1926.364177
24	1922.293691
25	1915.773651
26	1912.433402
27	1905.832266
28	1902.119015
29	1898.276871
30	1893.687836
31	1891.461613
32	1886.187199
33	1882.624569
34	1878.956533
35	1874.742177
36	1869.786224
37	1866.48379
38	1862.277884
39	1858.002238
40	1855.141295
41	1851.916331
42	1848.680709
43	1844.291062
44	1841.459251
45	1838.935485
46	1836.731117
47	1834.983135
48	1833.109537
49	1830.309104
