iter	Passed	Remaining
0	21	1062
1	41	1005
2	61	956
3	79	917
4	100	900
5	122	898
6	150	925
7	174	914
8	192	878
9	211	846
10	230	816
11	248	786
12	265	756
13	283	730
14	301	704
15	327	696
16	356	691
17	380	676
18	401	655
19	423	635
20	441	609
21	458	583
22	476	559
23	493	534
24	515	515
25	540	498
26	567	483
27	602	473
28	631	457
29	654	436
30	673	412
31	689	387
32	708	364
33	732	344
34	761	326
35	779	303
36	799	280
37	817	258
38	837	236
39	855	213
40	874	191
41	892	169
42	910	148
43	928	126
44	951	105
45	980	85
46	999	63
47	1017	42
48	1034	21
49	1052	0
